78600	7.3
78601	8.3
78602	7.2
78603	5.9
78604	6.6
78605	8.1
78606	7.8
78607	8.8
78608	8.5
78609	6.2
78610	6
78611	6.9
78612	6.3
78613	5.1
78614	4.9
78615	4.6
78616	5.5
78617	6.4
78618	5.4
78619	4.8
78620	4.6
78621	3.6
78622	3.1
78623	3.3
78624	2.7
78625	2.9
78626	6.2
78627	6.1
78628	6.4
78629	8.2
78630	8
78631	13.2
78632	16.9
78633	19.5
78634	17.1
78635	17.1
78636	17.7
78637	16.5
78638	14.9
78639	13.7
78640	14.3
78641	12.8
78642	18.8
78643	18.1
78644	16.1
78645	16.7
78646	20.8
78647	21.5
78648	16.3
78649	17.4
78650	16.7
78651	14.2
78652	14
78653	10.7
78654	7
78655	6.4
78656	8.6
78657	6.4
78658	6.4
78659	6.5
78660	10.6
78661	11.9
78662	8.7
78663	11.3
78664	15
78665	15.7
78666	13.7
78667	14
78668	10
78669	18.5
78670	18
78671	17.6
78672	17.9
78673	15.5
78674	16.4
78675	15.2
78676	14.5
78677	15.7
78678	10.7
78679	9
78680	14.5
78681	12.4
78682	12.4
78683	13.7
78684	16.5
78685	16.5
78686	14.5
78687	15.7
78688	15.7
78689	12
78690	14.2
78691	12.1
78692	8.8
78693	6.8
78694	5.9
78695	5.7
78696	6.6
78697	5.7
78698	9.5
78699	11.6
78700	13.1
78701	13.8
78702	13.2
78703	11.9
78704	12.3
78705	13.2
78706	16.1
78707	14
78708	12.2
78709	14.5
78710	14.8
78711	16.3
78712	14.5
78713	17.8
78714	15.7
78715	15.9
78716	12.1
78717	14
78718	15
78719	15.1
78720	13.5
78721	13.1
78722	12.4
78723	11.2
78724	8.2
78725	11.1
78726	18.6
78727	18.8
78728	17.5
78729	19.5
78730	18
78731	15.2
78732	14.1
78733	12.5
78734	12.1
78735	6.7
78736	8.2
78737	14.8
78738	12.2
78739	17.1
78740	17.5
78741	18.2
78742	17
78743	18.2
78744	15.1
78745	12.4
78746	14.4
78747	14.8
78748	14
78749	14.1
78750	13.3
78751	13.6
78752	16.4
78753	19.5
78754	20.1
78755	23.2
78756	23.9
78757	24.1
78758	22.7
78759	20.1
78760	17.9
78761	21.3
78762	14.3
78763	11.3
78764	15.2
78765	13.3
78766	12
78767	11.2
78768	10.3
78769	12.2
78770	9.1
78771	5.7
78772	4.6
78773	4.4
78774	5.8
78775	8
78776	8.9
78777	12
78778	10
78779	9.3
78780	16.2
78781	17.9
78782	16.5
78783	13.8
78784	14.1
78785	12.5
78786	11
78787	9.4
78788	7.4
78789	5.9
78790	7.2
78791	11.5
78792	14
78793	14.6
78794	16.3
78795	16.4
78796	14.5
78797	10.5
78798	6.5
78799	4.6
78800	5.6
78801	8.2
78802	8.4
78803	8.3
78804	9.5
78805	8.3
78806	6.1
78807	4
78808	3.1
78809	2.7
78810	2
78811	6.4
78812	8.8
78813	6.8
78814	5
78815	6.7
78816	11
78817	12.4
78818	13.4
78819	12.2
78820	9.4
78821	7
78822	9.6
78823	8.3
78824	6.2
78825	3.7
78826	2.8
78827	3.5
78828	5.1
78829	4.7
78830	8
78831	7.2
78832	6.5
78833	7.1
78834	7.3
78835	7.3
78836	6.6
78837	6.2
78838	7.6
78839	7.5
78840	5.4
78841	4.9
78842	5.1
78843	4.8
78844	5.2
78845	6.3
78846	7.2
78847	6.2
78848	6.6
78849	7.5
78850	10.2
78851	9.1
78852	6.5
78853	5.3
78854	6.5
78855	9.5
78856	9.6
78857	9.1
78858	6.7
78859	7.1
78860	9.2
78861	12.5
78862	12.5
78863	10.6
78864	10.8
78865	15
78866	14.6
78867	12.8
78868	11.1
78869	9.5
78870	8.2
78871	10.1
78872	11.5
78873	9.7
78874	9.1
78875	8.8
78876	8.4
78877	7.6
78878	6.8
78879	6.2
78880	5.7
78881	5
78882	4.1
78883	3.6
78884	5
78885	5.9
78886	8.7
78887	10.2
78888	10.9
78889	12.9
78890	13.6
78891	14.8
78892	14.7
78893	10.5
78894	7.6
78895	11.4
78896	13.2
78897	15.9
78898	16.5
78899	15.1
78900	10.7
78901	11.1
78902	10.5
78903	9.6
78904	11
78905	14.4
78906	12.2
78907	14.4
78908	14.7
78909	14.4
78910	12.2
78911	13.3
78912	13.6
78913	15
78914	11.7
78915	8.5
78916	6.7
78917	7.3
78918	7.1
78919	8.8
